KYTREASNOX,MCALDT,TMEWRETD
2000043,20120531,2.72E-03
2000043,20120629,-1.23E-03
2000043,20120731,5.96E-03
2000043,20120831,4.67E-04
2000043,20120928,-3.12E-04
2000043,20121031,-1.85E-03
2000043,20121130,3.10E-03
2000043,20121231,-1.13E-03
2000043,20130131,-1.42E-03
2000043,20130228,3.53E-03
2000043,20130328,5.34E-04
2000043,20130430,2.92E-03
2000043,20130531,-6.97E-03
2000043,20130628,-6.89E-03
2000043,20130731,3.83E-03
2000043,20130830,-5.77E-03
2000043,20130930,8.78E-03
2000043,20131031,3.25E-03
2000043,20131129,2.20E-03
2000043,20131231,-7.04E-03
2000043,20140131,6.60E-03
2000043,20140228,1.89E-03
2000043,20140331,-5.08E-03
2000043,20140430,3.39E-03
2000043,20140530,5.31E-03
2000043,20140630,-1.17E-03
2000043,20140731,-3.35E-03
2000043,20140829,4.96E-03
2000043,20140930,-1.99E-03
2000043,20141031,6.64E-03
2000043,20141128,5.44E-03
2000043,20141231,-5.21E-03
2000043,20150130,1.52E-02
2000043,20150227,-8.21E-03
2000043,20150331,6.18E-03
2000043,20150430,8.56E-04
2000043,20150529,4.15E-04
2000043,20150630,-1.36E-03
2000043,20150731,3.74E-03
2000043,20150831,-7.76E-04
2000043,20150930,7.99E-03
2000043,20151030,-3.17E-03
